billing_id,customer_id,billing_amount,billing_date,due_date,payment_status,plan_type,latest_billed_date
1,1,129.27,2022-02-11,2022-08-06,Paid,Unlimited,2023-10-06
2,2,182.14,2022-03-30,2023-03-15,Due,Premium,2023-05-08
3,3,141.67,2023-02-25,2023-01-01,Due,Basic,2023-12-19
4,4,165.48,2022-04-09,2023-03-19,Paid,Premium,2023-09-08
5,5,143.91,2022-04-27,2022-03-19,Paid,Basic,2023-06-20
6,6,101.75,2023-10-16,2023-04-15,Due,Premium,2023-04-04
7,7,75.38,2023-01-05,2022-07-28,Paid,Basic,2023-09-15
8,8,41.38,2023-06-05,2023-01-14,Paid,Premium,2023-06-10
9,9,101.73,2023-07-29,2023-09-02,Due,Premium,2023-07-10
10,10,58.28,2022-05-05,2022-07-29,Due,Basic,2023-02-24
11,11,69.14,2023-07-31,2023-04-07,Paid,Unlimited,2023-02-01
12,12,130.54,2022-11-23,2022-12-19,Due,Premium,2023-06-18
13,13,66.47,2022-10-01,2022-07-05,Due,Premium,2023-03-16
14,14,184.54,2023-03-30,2022-10-13,Due,Unlimited,2023-11-09
15,15,146.54,2023-11-01,2023-02-13,Paid,Basic,2023-04-24
16,16,168.9,2023-06-05,2023-07-23,Paid,Basic,2023-05-12
17,17,80.08,2022-08-17,2023-07-15,Paid,Basic,2023-09-03
18,18,123.31,2022-01-18,2023-09-18,Due,Unlimited,2023-08-11
19,19,39.57,2022-02-10,2023-08-31,Paid,Unlimited,2023-04-11
20,20,95.9,2023-09-01,2022-03-06,Paid,Premium,2023-02-23
21,21,179.41,2023-05-22,2022-10-13,Due,Unlimited,2023-03-20
22,22,95.11,2023-03-17,2022-08-08,Due,Unlimited,2023-03-06
23,23,103.39,2022-04-08,2023-10-27,Paid,Basic,2023-07-18
24,24,96.41,2023-10-13,2022-09-26,Due,Unlimited,2023-12-22
25,25,20.4,2022-08-20,2023-12-28,Due,Basic,2023-12-25
26,26,24.07,2023-05-07,2022-03-26,Due,Premium,2023-09-30
27,27,171.57,2023-12-18,2023-03-21,Paid,Unlimited,2023-03-27
28,28,44.83,2022-02-25,2022-06-25,Due,Basic,2023-07-18
29,29,94.23,2023-09-18,2023-04-29,Due,Unlimited,2023-02-16
30,30,102.39,2023-04-25,2022-03-07,Due,Basic,2023-09-29
31,31,67.69,2022-10-12,2022-12-04,Paid,Unlimited,2023-08-31
32,32,176.37,2023-02-26,2023-01-15,Due,Basic,2023-06-26
33,33,99.93,2022-08-04,2022-11-08,Paid,Basic,2023-11-04
34,34,82.2,2023-01-12,2023-06-17,Paid,Unlimited,2023-10-09
35,35,179.74,2023-06-13,2023-05-08,Paid,Premium,2023-08-24
36,36,70.34,2022-12-29,2023-09-11,Paid,Unlimited,2023-04-19
37,37,86.36,2022-04-30,2023-09-06,Due,Premium,2023-12-05
38,38,92.31,2023-09-16,2022-03-29,Due,Unlimited,2023-09-07
39,39,198.83,2023-04-03,2023-07-01,Due,Unlimited,2023-07-04
40,40,114.7,2023-06-01,2023-05-13,Paid,Basic,2023-11-16
41,41,49.19,2023-02-20,2023-08-03,Due,Premium,2023-06-04
42,42,165.98,2022-11-29,2023-02-17,Due,Premium,2023-08-26
43,43,150.94,2022-01-18,2022-01-18,Paid,Unlimited,2023-02-08
44,44,122.87,2023-08-16,2022-06-06,Paid,Unlimited,2023-02-27
45,45,122.9,2022-09-09,2023-07-22,Due,Basic,2023-10-18
46,46,78.45,2023-05-17,2023-09-26,Due,Unlimited,2023-01-05
47,47,23.43,2023-05-22,2022-04-21,Due,Unlimited,2023-04-09
48,48,54.71,2023-02-08,2023-03-10,Paid,Basic,2023-12-06
49,49,81.23,2022-04-14,2022-10-16,Due,Basic,2023-04-04
50,50,167.53,2023-09-01,2022-10-05,Paid,Premium,2023-08-27
51,51,23.19,2022-03-05,2022-11-16,Due,Premium,2023-06-14
52,52,143.4,2023-08-02,2022-11-20,Due,Premium,2023-09-26
53,53,146.3,2022-05-05,2022-06-14,Due,Basic,2023-11-05
54,54,73.91,2023-07-08,2024-01-07,Due,Basic,2023-09-04
55,55,78.88,2023-05-06,2023-07-30,Due,Basic,2023-07-24
56,56,190.0,2022-06-24,2022-08-31,Due,Premium,2023-06-24
57,57,73.24,2022-03-14,2023-12-26,Paid,Premium,2023-04-27
