usage_id,customer_id,service_type,usage_amount,usage_date,usage_time
1,7100,call,857.95,2023-06-11,21:53:23
2,1620,SMS,104.61,2022-07-09,15:54:43
3,7815,call,397.64,2022-10-15,03:49:17
4,452,call,309.43,2023-08-27,13:55:44
5,5440,SMS,761.44,2022-10-25,13:16:04
6,2957,data,535.46,2023-11-07,16:48:12
7,2207,data,177.35,2022-08-13,05:20:01
8,2418,call,382.37,2022-11-14,02:27:52
9,5790,SMS,39.12,2022-03-10,00:21:47
10,5372,data,578.4,2023-02-05,02:35:32
11,5052,data,23.77,2022-11-04,01:01:02
12,9819,call,752.59,2023-05-29,01:12:18
13,5729,call,515.94,2022-06-06,13:06:08
14,609,call,909.17,2023-09-09,16:49:21
15,352,SMS,783.4,2022-03-19,12:46:01
16,6930,SMS,983.75,2023-06-19,04:38:23
17,8769,SMS,958.05,2023-09-01,01:12:58
18,9078,call,149.11,2022-02-07,12:04:47
19,368,SMS,642.38,2023-01-25,14:10:58
20,3852,data,781.73,2022-10-16,03:23:12
21,2098,SMS,420.36,2023-11-13,21:59:51
22,9480,data,230.05,2023-01-08,11:08:23
23,9320,data,827.42,2023-10-10,19:47:08
24,6000,data,987.48,2022-11-11,05:11:39
25,4045,SMS,574.65,2022-07-01,20:10:34
26,452,call,891.11,2022-10-13,16:20:30
27,4185,call,457.2,2023-12-17,14:01:40
28,910,call,371.04,2023-11-18,08:47:59
29,7039,call,200.37,2023-02-14,22:18:58
30,2536,data,29.11,2023-05-17,08:11:51
31,9118,call,846.56,2023-04-21,20:39:50
32,839,call,580.81,2023-03-19,08:09:34
33,2881,SMS,308.83,2023-02-07,00:12:18
34,2560,SMS,777.51,2022-07-31,23:20:02
35,5046,call,49.97,2023-05-17,10:03:27
36,9143,call,134.83,2022-03-12,02:45:55
37,5165,SMS,5.43,2022-02-08,14:35:01
38,1660,SMS,5.66,2023-03-16,15:50:09
39,6727,SMS,845.58,2023-06-12,22:59:34
40,1941,call,952.4,2023-09-10,14:34:34
41,7483,call,723.38,2023-04-06,22:54:49
42,7022,SMS,126.05,2023-02-14,07:59:26
43,2841,SMS,45.62,2023-12-27,01:45:15
44,6444,data,296.95,2023-03-07,08:17:10
45,9012,call,850.25,2022-02-06,22:14:27
46,2687,SMS,899.42,2022-05-13,05:53:11
47,7381,SMS,274.33,2022-03-03,12:44:35
48,7153,call,782.45,2022-12-04,05:33:12
