usage_id,customer_id,data_usage_amount,usage_date,usage_time
1,4685,18421.48,2023-09-19,22:38:25
2,9697,7296.47,2023-05-18,10:02:37
3,6125,18683.77,2022-07-01,05:17:45
4,9388,49005.27,2023-10-19,02:37:45
5,5407,2086.46,2022-04-21,08:46:06
6,9977,43527.39,2022-12-02,18:03:28
7,4262,22051.26,2022-08-31,18:54:30
8,9196,22618.69,2023-07-26,01:51:35
9,8777,7708.82,2022-03-08,15:33:05
10,4298,38852.19,2022-01-12,11:22:04
11,7175,37367.37,2023-03-24,17:26:12
12,7798,24988.39,2022-11-30,19:22:05
13,6586,48145.06,2023-03-07,23:30:38
14,5955,40712.5,2022-05-13,20:34:38
15,8116,22200.7,2023-01-21,06:15:27
16,8103,22718.1,2022-04-11,06:44:56
17,33,28164.47,2022-07-06,00:50:19
18,9201,30784.31,2022-10-17,13:40:37
19,3019,42284.43,2022-01-22,22:38:27
20,5081,21484.65,2022-02-15,11:09:11
21,832,48163.45,2023-08-29,00:19:29
22,3924,26144.32,2023-01-29,00:55:52
23,2995,38428.82,2023-02-20,03:58:21
24,3779,40448.83,2022-01-24,18:28:36
25,271,20650.36,2023-01-31,06:40:40
26,9808,32915.92,2022-08-21,16:34:12
27,7083,28422.72,2022-05-08,11:16:21
28,3865,42809.21,2022-02-23,02:34:35
29,935,1642.91,2023-07-18,08:03:40
30,50,31259.36,2022-06-25,03:11:35
31,4003,33743.17,2023-06-09,16:55:52
32,926,9551.06,2022-02-08,16:41:11
33,603,39549.58,2022-12-13,22:39:58
34,2104,46144.99,2023-01-23,00:28:05
35,5419,34317.31,2023-09-01,19:45:33
36,378,27478.69,2022-04-26,21:52:49
37,7258,49924.66,2023-02-18,08:49:29
38,2444,27535.17,2022-04-18,02:45:54
39,6405,10546.91,2023-09-13,19:40:22
40,2553,14231.73,2022-02-18,07:25:24
41,8163,14695.71,2023-06-10,23:17:00
42,9443,28476.84,2022-03-04,02:20:28
43,8961,35880.66,2022-11-23,04:08:07
44,5423,31836.74,2022-04-04,08:29:44
45,3493,48592.38,2022-03-26,04:49:13
46,1829,47790.91,2023-01-18,08:58:39
47,2779,23752.04,2022-11-30,03:37:53
48,141,12110.49,2022-07-21,09:48:59
49,6952,17956.71,2022-12-03,02:44:37
50,2803,29222.28,2023-03-08,18:09:17
51,849,32021.95,2022-07-30,21:36:15
52,8419,45940.89,2023-11-16,20:48:16
53,2319,40277.41,2023-03-12,12:04:47
54,4683,6296.57,2022-12-17,23:33:32
55,3702,43538.59,2022-08-20,06:07:03
56,8762,44995.2,2022-04-12,09:42:11
57,8822,32164.2,2022-12-12,02:41:39
58,9569,27635.86,2022-04-19,10:15:11
59,8152,21403.51,2022-10-24,11:11:22
60,4090,41417.9,2023-12-09,18:08:15
61,2395,6301.28,2023-12-06,18:26:58
62,9744,29890.23,2022-01-09,18:53:57
63,8890,33095.17,2023-03-15,03:38:11
64,2369,48066.2,2023-09-27,08:27:09
65,681,38212.43,2022-06-19,11:11:37
66,1470,5785.81,2023-08-22,04:42:10
67,3198,25562.8,2022-11-06,12:51:40
68,404,15384.96,2022-06-04,18:32:24
69,2854,1375.31,2023-09-24,19:13:45
70,1369,31257.42,2022-10-07,18:35:03
71,3418,49210.87,2023-12-23,03:31:01
72,1149,15722.17,2022-02-04,09:56:05
73,7366,24491.58,2022-04-07,13:21:03
74,9133,24603.19,2023-12-13,00:30:08
75,8716,42718.57,2022-04-25,10:00:33
76,5827,47533.04,2022-03-04,04:29:32
77,3239,22711.53,2022-07-02,00:11:02
78,7145,7061.92,2022-03-07,06:01:19
79,1744,42787.87,2022-11-10,18:19:07
80,1602,21743.66,2022-06-01,11:40:04
81,1031,28808.59,2023-11-20,22:36:26
82,3124,39231.81,2023-07-02,07:34:06
83,750,17762.3,2022-06-13,17:58:53
84,494,27046.8,2023-12-03,15:37:42
85,9318,12780.15,2022-07-23,04:27:30
86,2931,43593.44,2023-10-01,10:20:59
87,8251,25014.27,2022-12-26,13:19:45
88,5044,19337.54,2022-04-19,10:30:47
89,5169,48011.81,2022-02-06,14:48:54
90,7208,44636.8,2023-11-02,00:37:54
91,5093,21722.92,2023-10-27,14:39:28
92,9628,7612.22,2022-08-28,20:39:23
93,6698,1828.38,2023-04-23,04:33:47
94,1296,49734.5,2022-09-03,00:35:56
95,4235,24923.75,2022-10-28,03:06:08
96,2495,12614.79,2023-06-22,12:07:01
97,6291,45309.99,2023-07-04,05:13:08
98,9567,36911.8,2023-06-02,14:30:34
99,6703,39988.36,2022-01-27,22:31:17
100,1272,20990.48,2022-03-04,11:25:47
101,4762,17567.02,2023-02-02,16:53:46
102,2591,32602.11,2022-12-11,04:13:48
103,1330,35381.0,2023-01-06,04:33:29
104,9210,11443.72,2022-11-19,20:11:00
105,3480,383.39,2022-11-02,16:48:27
106,4144,9452.69,2023-07-02,17:06:51
107,6578,16912.32,2022-10-31,02:04:21
108,5604,45442.02,2022-03-18,23:48:53
109,6420,4092.0,2023-03-26,21:49:01
110,6977,37078.64,2023-11-12,14:40:31
111,7567,6645.85,2022-07-10,06:03:33
112,254,38817.32,2023-08-01,15:51:00
113,1849,7601.8,2022-11-14,01:21:24
114,2786,16928.28,2023-03-26,06:46:35
115,842,24412.3,2023-03-28,02:14:41
116,3491,16473.97,2022-11-17,02:25:49
117,3183,25354.04,2022-11-08,06:27:47
118,9541,45990.46,2022-01-17,03:53:51
119,9654,13556.86,2022-02-27,10:53:01
120,4226,38145.17,2023-02-01,09:37:13
121,4942,17593.15,2023-08-01,21:13:08
122,6002,20057.63,2022-05-14,19:24:12
123,2499,9103.6,2022-07-10,22:50:24
124,2205,22745.14,2023-03-16,07:12:42
125,5053,31458.66,2023-01-06,19:37:02
126,9814,10153.65,2023-02-17,18:07:15
127,8599,27307.74,2023-03-08,12:39:28
128,7935,11725.05,2023-05-10,16:13:07
129,2057,3481.78,2022-10-24,18:31:31
130,6611,10094.18,2022-11-10,06:56:52
131,5092,10617.94,2022-04-24,22:37:23
132,290,2380.24,2023-01-30,06:02:53
133,591,38984.88,2022-03-14,02:59:59
134,618,10852.22,2023-03-24,17:35:06
135,7367,41391.63,2023-08-19,11:34:28
136,667,48677.9,2022-06-29,07:39:34
137,6068,46725.07,2022-09-03,19:06:11
138,5894,19798.7,2023-08-09,19:35:26
139,1987,38815.09,2023-03-14,06:41:55
140,7385,12249.27,2022-03-12,12:06:28
141,254,45769.24,2023-04-27,06:43:55
142,6295,17696.37,2022-06-17,02:28:18
143,9765,11877.25,2022-11-16,17:27:38
144,6886,33094.11,2023-10-06,06:09:30
145,4751,49214.56,2022-04-15,14:28:45
